R#[ohm]	I#[mA]	U#[mV]
5	31.4	219
10	31.6	377
15	31.5	534
20	31.3 	686
25	31.4	841
30	31.3 	1000
35	31.3 	1155
40	31.0	1298
45	30.2 	1409
46	29.8 	1420
47	29.6 	1445
48	29.3 	1455
49	29.0 	1470
50	28.7	1486
51	28.4 	1500
52	28.1 	1510
53 	27.9 	1527
54 	27.6 	1540
55 	27.5 	1558
60	26.0	1604
65 	24.5 	1638
70	23.2 	1665
75 	22.0	1690
80 	20.9	1709
85 	19.9 	1726
90 	19.0 	1742
95 	18.1 	1754
100 	17.4 	1765
110 	16.0 	1783
120 	14.8 	1796
130 	13.7 	1807
140 	12.8 	1815
150 	12.0 	1825
160 	11.3 	1832
170 	10.7 	1839
180 	10.2 	1845
190 	9.6 	1848
200 	9.2 	1853
250 	7.4 	1870
300 	6.2 	1880
