1	0	4	0	
5	0	8	0	
10	0.1	10	0.01	
15	0.2	6.8	0.029	
20	0.4	10	0.04	
25	0.5	8	0.063	
27	0.6	7.4	0.081	
29	0.7	6.8	0.103	
30	0.8	6.6	0.121	
30.5	0.9	6.4	0.141
31	1	6.4	0.156
31.5	2	12.6	0.159
32	2.2	12.4	0.177
32.2	2.4	12.4	0.194
32.4	2.4	12.4	0.194
32.6	2.4	12	0.2
32.8	2.5	12	0.208
33	2.6	12	0.216
33.2	2.6	12	0.216
33.3	2.7	12	0.225
33.4	2.7	11.9	0.227
33.6	2.8	11.8	0.237
33.8	2.9	11.8	0.246
34	2.9	11.6	0.25
34.2	3	11.6	0.259
34.4	3.1	11.6	0.267
34.6	3.2	11.4	0.281
34.8	3.2	11.4	0.281 
35	3.3	11.4	0.289
35.5	3.4	11.2	0.304 
36	3.5	11.2	0.313 
36.5	3.6	11	0.327
37	3.8	10.8	0.352 
38	3.8	10.6	0.358
40	4	10	0.4 
45	3.9	8.8	0.443
50	3.6	8	0.45
75	2.6	5.4	0.481 
100	2	4	0.5
