x[V]	y1[cm]	y2[cm]	dy[cm]	dx[V]	m[cm/v]
1.000	15.6	15.5	0.1 	0.500	 0.2
1.500	15.5	15.5	0.0 	0.500	 0.0
2.000	15.5	15.4	0.1 	0.500	 0.2
2.500	15.4	15.4	0.0 	0.500	 0.0
3.000	15.4	15.3	0.1 	0.500	 0.2
3.500	15.3	15.2	0.1 	0.500	 0.2
4.000	15.2	15.1	0.1 	0.500	 0.2
4.500	15.1 	15.0	0.1 	0.500	 0.2
5.000	15.0	14.8	0.2 	0.500	 0.4
5.500	14.8	14.7	0.1 	0.500	 0.2
6.000	14.7	14.5	0.2 	0.500	 0.4
6.500	14.5	14.3	0.2 	0.500	 0.4
7.000	14.3	13.9	0.4 	0.500	 0.8
7.500	13.9	13.5	0.4 	0.500	 0.8
8.000	13.5	12.9	0.6 	0.500	 1.2
8.500	12.9	11.7	1.2 	0.500	 2.4
9.000	11.7	11.3	0.4 	0.125	 3.2
9.125	11.3	10.9	0.4 	0.125	 3.2
9.250	10.9	10.3	0.6 	0.125	 4.8
9.375	10.3	 9.5 	0.8 	0.125	 6.4
9.500	 9.5 	 8.3 	1.2 	0.125	 9.6
9.625	 8.3 	 5.3 	2.0 	0.125	16.0
9.750	 5.3 	 1.5 	3.8 	0.125	30.4
9.875	 1.5 	 0.0 	1.5 	0.125	12.0
10.000	 0.0 	-0.8	0.8 	0.250	 3.2
