x[V]	y1[cm]	fy[cm]	y2[cm]	fy[cm]	dy[cm]	fy[cm]	dx[V]	m[cm/V]
1.000	11.2 	0.1 	 9.6 	0.1 	1.6 	0.1 	0.500	3.2 
1.500	 9.6 	0.1 	 8.0 	0.1 	1.6 	0.1 	0.500	3.2 
2.000	 8.0 	0.1 	 6.3 	0.1 	1.7 	0.1 	0.500	3.4 
2.500	 6.3 	0.1 	 4.5 	0.1 	1.8 	0.1 	0.500	3.6 
3.000	 4.5 	0.1 	 2.8 	0.1 	1.7 	0.1 	0.500	3.4 
3.500	 2.8 	0.1 	 2.4 	0.1 	0.4 	0.1 	0.125	3.2 
3.625	 2.4 	0.1 	 2.0 	0.1 	0.4 	0.1 	0.125	3.2 
3.750	 2.0 	0.1 	 1.6 	0.1 	0.4 	0.1 	0.125	3.2 
3.875	 1.6 	0.1 	 1.2 	0.1 	0.4 	0.1 	0.125	3.2 
4.000	 1.2 	0.1 	 1.0 	0.1 	0.2 	0.1 	0.125	1.6 
4.125	 1.0 	0.1 	 0.7 	0.1 	0.3 	0.1 	0.125	2.4 
4.250	 0.7 	0.1 	 0.5 	0.1 	0.2 	0.1 	0.125	1.6 
4.375	 0.5 	0.1 	 0.2 	0.1 	0.3 	0.1 	0.125	2.4 
4.500	 0.2 	0.1 	 0.0 	0.1 	0.2 	0.1 	0.125	1.6 
4.625	 0.0 	0.1 	-0.1 	0.1 	0.1 	0.1 	0.125	0.8 
4.750	-0.1 	0.1 	-0.2 	0.1 	0.1 	0.1 	0.125	0.8 
5.000	-0.2 	0.1 	-0.2 	0.1 	0.0 	0.1 	0.500	0.0 
