#Zählrohrwinkel	Rate bei 35kV
#2*theta/°	R(35kV)/Imp/s

30,0	25,0
30,4	30,0
30,8	33,0
31,2	31,0
31,6	29,0
32,0	31,0
32,4	28,0
32,8	24,0
33,2	27,0
33,5	19,0
34,0	19,0
34,4	21,0
34,8	19,0
35,2	19,0
35,5	16,0
36,0	18,0
36,4	17,0
36,8	15,0
37,2	13,0
37,5	14,0
38,0	12,0
38,4	12,0
38,8	12,0
39,2	11,0
39,5	11,0
40,0	11,0
40,4	10,0
40,8	11,0
41,2	49,0
41,5	56,0
42,0	20,0
42,4	13,0
42,8	9,0
43,2	10,0
43,5	9,0
44,0	8,0
44,4	7,0
44,8	8,0
45,2	8,0
45,5	22,0
46,0	89,0
46,4	62,0
46,8	7,0
47,2	5,0
47,6	5,0
48,0	5,0
48,4	6,0
48,8	6,0
49,2	4,0
49,6	6,0
50,0	5,0
