#Zählrohrwinkel	Rate bei 35kV
#2*theta/°	R(35kV)/Imp/s

20.0	131.0
20.4	153.0
20.7	156.0
21.2	160.0
21.6	168.0
22.0	181.0
22.4	180.0
22.8	175.0
23.2	186.0
23.6	203.0
24.0	197.0
24.4	208.0
24.8	209.0
25.2	216.0
25.6	228.0
26.0	218.0
26.4	222.0
26.8	226.0
27.2	222.0
27.6	199.0
28.0	193.0
28.4	188.0
28.8	170.0
29.2	181.0
29.6	178.0
30.0	172.0

#Zählrohrwinkel	Rate bei 35kV
#2*theta/°	R(35kV)/Imp/s

40.0	116.0
40.4	121.0
40.8	157.0
41.2	1304.0
41.5	1433.0
42.0	511.0
42.4	183.0
42.8	152.0
43.2	149.0
43.5	136.0
44.0	131.0
44.4	138.0
44.8	151.0
45.2	208.0
45.5	1266.0
46.0	5340.0
46.4	3606.0
46.8	274.0
47.2	146.0
47.6	118.0
48.0	102.0
48.4	94.0
48.8	95.0
49.2	84.0
49.6	80.0
50.0	79.0

#Zählrohrwinkel	Rate bei 35kV
#2*theta/°	R(35kV)/Imp/s

8.0	18.0
10.0	21.0
12.0	30.0
14.0	60.0
16.0	90.0
18.0	124.0
20.0	152.0
22.0	181.0
24.0	200.0
26.0	217.0
28.0	183.0
30.0	168.0
32.0	157.0
34.0	141.0
36.0	133.0
38.0	123.0
40.0	112.0
42.0	533.0
44.0	134.0
46.0	5360.0
48.0	107.0
50.0	78.0
52.0	62.0
54.0	59.0
56.0	42.0
58.0	38.0
60.0	35.0

#Zählrohrwinkel	Rate bei 35kV
#2*theta/°	R(35kV)/Imp/s

12.0	7.0
12.4	10.0
12.8	13.0
13.2	15.0
13.6	18.0
14.0	17.0
14.4	21.0
14.8	22.0
15.2	27.0
15.6	25.0
16.0	23.0
16.4	25.0
16.7	25.0
17.2	29.0
17.6	27.0
18.0	24.0
18.4	26.0
18.7	24.0
19.2	26.0
19.6	25.0
20.0	25.0
20.4	25.0
20.7	24.0
21.2	21.0
21.6	21.0
22.0	21.0
22.4	20.0
22.8	20.0
23.2	20.0
23.6	21.0
24.0	19.0

#Zählrohrwinkel	Rate bei 35kV mit Germanium
#2*theta/°	R(35kV)/Imp/s

8.0		3.0
10.0	5.0
12.0	8.0
14.0	19.0
16.0	26.0
18.0	27.0
20.0	26.0
22.0	20.0
24.0	18.0
26.0	16.0
28.0	13.0
30.0	12.0
32.0	9.0

#Zählrohrwinkel	Rate bei 35kV
#2*theta/°	R(35kV)/Imp/s

18.0	47.0
18.4	56.0
18.7	62.0
19.2	62.0
19.6	70.0
20.0	96.0
20.4	111.0
20.7	115.0
21.2	119.0
21.6	122.0
22.0	124.0
22.4	119.0
22.8	128.0
23.2	129.0
23.6	123.0
24.0	122.0
24.4	121.0
24.8	124.0
25.2	122.0
25.6	122.0
26.0	122.0
26.4	119.0
26.8	116.0
27.2	117.0
27.6	97.0
28.0	92.0
28.4	88.0
28.8	84.0
29.2	81.0
29.6	77.0
30.0	73.0
30.4	73.0
30.8	70.0
31.2	66.0

#Zählrohrwinkel	Rate bei 35kV
#2*theta/°	R(35kV)/Imp/s

8.0	5.0
10.0	6.0
12.0	15.0
14.0	37.0
16.0	53.0
18.0	63.0
20.0	106.0
22.0	119.0
24.0	126.0
26.0	117.0
28.0	83.0
30.0	73.0
32.0	55.0
34.0	44.0
36.0	38.0

#Zählrohrwinkel	Rate bei 35kV
#2*theta/°	R(35kV)/Imp/s

30.0	60.0
30.4	61.0
30.8	62.0
31.2	75.0
31.6	86.0
32.0	86.0
32.4	81.0
32.8	80.0
33.2	75.0
33.5	72.0
34.0	67.0
34.4	67.0
34.8	64.0
35.2	58.0
35.5	63.0
36.0	58.0
36.4	57.0
36.8	53.0
37.2	52.0
37.5	51.0
38.0	45.0
38.4	49.0
38.8	47.0
39.2	47.0
39.5	42.0
40.0	40.0
40.4	41.0
40.8	55.0
41.2	392.0
41.5	443.0
42.0	156.0
42.4	55.0
42.8	46.0
43.2	39.0
43.5	38.0
44.0	36.0
44.4	37.0
44.8	37.0
45.2	51.0
45.5	256.0
46.0	1318.0
46.4	853.0
46.8	62.0
47.2	37.0
47.6	27.0
48.0	24.0
48.4	23.0
48.8	22.0
49.2	21.0
49.6	23.0
50.0	21.0

#Zählrohrwinkel	Rate bei 35kV
#2*theta/°	R(35kV)/Imp/s

8.0	7.0
10.0	8.0
12.0	16.0
14.0	41.0
16.0	61.0
18.0	72.0
20.0	79.0
22.0	76.0
24.0	83.0
26.0	77.0
28.0	72.0
30.0	61.0
32.0	85.0
34.0	70.0
36.0	59.0
38.0	48.0
40.0	43.0
42.0	181.0
44.0	39.0
46.0	1313.0
48.0	25.0
50.0	16.0
52.0	16.0
54.0	14.0
56.0	11.0
58.0	12.0
60.0	9.0

#Zählrohrwinkel	Rate bei 35kV
#2*theta/°	R(35kV)/Imp/s

30.0	25.0
30.4	30.0
30.8	33.0
31.2	31.0
31.6	29.0
32.0	31.0
32.4	28.0
32.8	24.0
33.2	27.0
33.5	19.0
34.0	19.0
34.4	21.0
34.8	19.0
35.2	19.0
35.5	16.0
36.0	18.0
36.4	17.0
36.8	15.0
37.2	13.0
37.5	14.0
38.0	12.0
38.4	12.0
38.8	12.0
39.2	11.0
39.5	11.0
40.0	11.0
40.4	10.0
40.8	11.0
41.2	49.0
41.5	56.0
42.0	20.0
42.4	13.0
42.8	9.0
43.2	10.0
43.5	9.0
44.0	8.0
44.4	7.0
44.8	8.0
45.2	8.0
45.5	22.0
46.0	89.0
46.4	62.0
46.8	7.0
47.2	5.0
47.6	5.0
48.0	5.0
48.4	6.0
48.8	6.0
49.2	4.0
49.6	6.0
50.0	5.0

#Zählrohrwinkel	Rate bei 35kV
#2*theta/°	R(35kV)/Imp/s

8.0	3.0
10.0	5.0
12.0	9.0
14.0	24.0
16.0	32.0
18.0	35.0
20.0	32.0
22.0	27.0
24.0	29.0
26.0	27.0
28.0	24.0
30.0	23.0
32.0	30.0
34.0	19.0
36.0	17.0
38.0	12.0
40.0	11.0
42.0	20.0
44.0	7.0
46.0	88.0
48.0	4.0
50.0	4.0
52.0	4.0
54.0	6.0
56.0	3.0
58.0	4.0
60.0	3.0

#Zählrohrwinkel	Rate bei 35kV
#2*theta/°	R(35kV)/Imp/s

26.0	37.0
26.2	40.0
26.4	49.0
26.6	60.0
26.8	71.0
27.0	103.0
27.2	112.0
27.4	133.0
27.6	160.0
27.8	165.0
28.0	189.0
28.2	186.0
28.4	170.0
28.6	141.0
28.8	122.0
29.0	100.0
29.2	75.0
29.4	52.0
29.6	38.0
29.8	37.0
30.0	36.0
